Line needed to mimic the original format
Code circo euro	Libelle circo euro	Nom elu	Prenom elu	Date naissance	Code sexe	Code profession	Libelle profession	Libelle mandat	Date debut mandat	Date fin mandat	Motif fin mandat	Nuance politique	ID RNE	ID Europe	ID universel
00	UNIQUE	CAULLERY	Isabelle	17/08/1955	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPF	1156944	4363	RNE_1156944
00	UNIQUE	CAUQUIL	Chantal	03/07/1949	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	LO	NA	4409	EUR_0004409
00	UNIQUE	COHN-BENDIT	Daniel	04/04/1945	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	VEC	1177464	1934	RNE_1177464
00	UNIQUE	CORNILLET	Thierry	23/07/1951	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	UDF	20	4338	RNE_0000020
00	UNIQUE	COÛTEAUX	Paul	31/07/1956	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPF	21	4383	RNE_0000021
00	UNIQUE	DARRAS	Danielle	22/12/1943	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	NA	1979	EUR_0001979
00	UNIQUE	DARY	Michel	20/09/1945	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	PRG	1499421	1959	RNE_1499421
00	UNIQUE	DAUL	Joseph	13/04/1947	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPR	24	4342	RNE_0000024
00	UNIQUE	DE GAULLE	Charles	25/09/1948	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	FN	NA	1878	EUR_0001878
00	UNIQUE	DE LA PERRIÈRE	Thierry	01/01/1953	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPF	1238787	4365	RNE_1238787
00	UNIQUE	DE SARNEZ	Marielle	27/03/1951	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	UDF	26	4335	RNE_0000026
