Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
59542S	M.	Lauriol	Marc	ANCIEN	47849		02/07/1981		01/04/1986		46445	02/07/1981		01/04/1986		Député
16685X	M.	Le Nay	Jacques	ACTIF	47923		02/04/1993		21/04/1997		46519	02/04/1993		21/04/1997		Député
16685X	M.	Le Nay	Jacques	ACTIF	47924		01/06/1997		18/06/2002		46520	01/06/1997		18/06/2002		Député
16685X	M.	Le Nay	Jacques	ACTIF	47925		19/06/2002		19/06/2007		46521	19/06/2002		19/06/2007		Député
16685X	M.	Le Nay	Jacques	ACTIF	47926		20/06/2007		19/06/2012		46522	20/06/2007		19/06/2012		Député
98051U	M.	Le Pensec	Louis	ANCIEN	47929		02/04/1973		01/04/1978		46525	02/04/1973		01/04/1978		Député
98051U	M.	Le Pensec	Louis	ANCIEN	47930		02/07/1981		23/07/1981		46526	02/07/1981		23/07/1981		Député
98051U	M.	Le Pensec	Louis	ANCIEN	47931		09/05/1983		01/04/1986		46527	09/05/1983		01/04/1986		Député
98051U	M.	Le Pensec	Louis	ANCIEN	47932		02/04/1986		14/05/1988		46528	02/04/1986		14/05/1988		Député
98051U	M.	Le Pensec	Louis	ANCIEN	47933		03/04/1978		22/05/1981		46529	03/04/1978		22/05/1981		Député
98051U	M.	Le Pensec	Louis	ANCIEN	47934		06/06/1988		28/07/1988		46530	06/06/1988		28/07/1988		Député
98051U	M.	Le Pensec	Louis	ANCIEN	47935		02/04/1993		21/04/1997		46531	02/04/1993		21/04/1997		Député
98051U	M.	Le Pensec	Louis	ANCIEN	47936		01/06/1997		04/07/1997		46532	01/06/1997		04/07/1997		Député
04076N	Mme	Le Texier	Raymonde	ANCIEN	47945		05/07/1997		12/02/2001		46541	05/07/1997		12/02/2001		Député
07025P	M.	Le Vern	Alain	ANCIEN	47946		02/04/1993		21/04/1997		46542	02/04/1993		21/04/1997		Député
07025P	M.	Le Vern	Alain	ANCIEN	47947		13/06/1988		01/04/1993		46543	13/06/1988		01/04/1993		Député
07025P	M.	Le Vern	Alain	ANCIEN	47948		01/06/1997		18/06/2002		46544	01/06/1997		18/06/2002		Député
000442	M.	Lecanuet	Jean	ANCIEN	9681					1958	3194				1958	Député
000442	M.	Lecanuet	Jean	ANCIEN	47957		02/04/1973		28/06/1974		46553	02/04/1973		28/06/1974		Député
