ID Assemblee	Code sexe	Prenom elu	Nom elu	Date naissance	Date deces	Commune de naissance	Departement de naissance	Pays de naissance	Nom profession	Categorie profession	Famille profession
PA415486	Mme	Sylvie	Goy-Chavent	1963-05-23							
PA415487	M.	Jacques	Berthou	1940-03-03							
PA415488	Mme	Nicole	Bonnefoy	1958-08-11							
PA415489	M.	Jean-François	Mayet	1940-01-30							
PA415490	Mme	Françoise	Laurent-Perrigot	1950-02-27							
PA415491	Mme	Anne-Marie	Escoffier	1942-08-15							
PA415492	M.	Jean-Paul	Fournier	1945-10-16							
PA415493	M.	Alain	Fauconnier	1945-02-20							
PA415494	M.	Claude	Jeannerot	1945-04-10							
PA415495	M.	Alain	Houpert	1957-08-13							
PA415496	M.	François	Rebsamen	1951-06-25							
PA415497	M.	Richard	Tuheiava	1974-02-28							
PA415498	M.	Jean-Étienne	Antoinette	1966-01-29							
PA415499	M.	Georges	Patient	1949-04-01							
PA415500	M.	Jean	Milhau	1929-12-18							
PA417099	M.	Arnaud	Robinet	1975-04-30		Reims	Marne	France	Enseignant - Chercheur - Praticien hospitalier	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA418	M.	Jean-Claude	Beaulieu	1944-06-24		Payroux	Vienne		Chirurgien des hôpitaux	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA419	M.	René	Beaumont	1940-02-29		Lyon	Rhône		Docteur vétérinaire	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA421348	M.	André	Villiers	1954-12-13		Avallon	Yonne	France	Agriculteur-propriétaire exploitant	Agriculteurs exploitants	Agriculteurs exploitants
PA421349	M.	Jean-Jacques	Pignard	1947-04-15							
PA421497	Mme	Renée	Nicoux	1951-03-26							
PA422119	M.	David	Douillet	1969-02-17		Rouen	Seine-Maritime	France	Sportif de haut niveau - consultant	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA422785	Mme	Marie-Agnès	Labarre	1945-06-12							
PA423245	M.	Ronan	Kerdraon	1962-07-16							
PA423752	Mme	Christiane	Longère	1953-04-13							
PA424679	Mme	Anny	Poursinoff	1951-10-30		Stenay	Meuse	France	Infirmière	Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés	Professions Intermédiaires
